learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
142000.0,1.065304717,3.2277697194119283E-9,142000.0,99.99014084507041,99.99014084507041,-55.555555555536095,99.990134522828,?,?,?,142000.0,11712.0
143000.0,1.071349012,3.246083345611889E-9,143000.0,99.99020979020979,99.99020979020979,-55.555555555575154,99.99020355610914,?,?,?,143000.0,11712.0
144000.0,1.077349221,3.264263395518063E-9,144000.0,99.99027777777778,99.99027777777778,-55.55555555559503,99.9902716299884,?,?,?,144000.0,11712.0
145000.0,1.083299333,3.282291656384864E-9,145000.0,99.99034482758621,99.99034482758621,-55.55555555565492,99.99033876432796,?,?,?,145000.0,11712.0
146000.0,1.0892687,3.3003782580296184E-9,146000.0,99.9904109589041,99.9904109589041,-55.55555555551553,99.99040497844547,?,?,?,146000.0,11712.0
147000.0,1.095206018,3.318367754320302E-9,147000.0,99.99047619047619,99.99047619047619,-55.55555555555556,99.99047029113261,?,?,?,147000.0,11712.0
148000.0,1.101238743,3.3366463245451434E-9,148000.0,99.99054054054054,99.99054054054054,-55.55555555565699,99.99053472067284,?,?,?,148000.0,11712.0
149000.0,1.10775731,3.3563969487945224E-9,149000.0,99.99060402684565,99.99060402684565,-55.55555555549429,99.99059828485855,?,?,?,149000.0,11712.0
150000.0,1.113865947,3.3749055249989016E-9,150000.0,99.99066666666667,99.99066666666667,-55.55555555559667,99.99066100100728,?,?,?,150000.0,11712.0
151000.0,1.119917332,3.3932406332095446E-9,151000.0,99.99072847682119,99.99072847682119,-55.555555555617644,99.99072288597763,?,?,?,151000.0,11712.0
152000.0,1.12607399,3.4118947083751344E-9,152000.0,99.9907894736842,99.9907894736842,-55.55555555576389,99.99078395618429,?,?,?,152000.0,11712.0
