learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
617952.0,5.53828756,5.441525551190911E-7,617952.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,617952.0,381648.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,46640.49166666669,163385.72590353526,246.59999999999994,119.52021733975043
656574.0,5.840120255,5.739501616704796E-7,656574.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,656574.0,381608.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,49862.21666666665,173604.1497123972,246.26666666666668,118.82758736172032
695196.0,6.141917542,6.037349036431189E-7,695196.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,695196.0,381488.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,53071.866666666676,183882.98616778574,245.26666666666668,116.71928065315723
733818.0,6.437809833,6.329644314827253E-7,733818.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,733818.0,381848.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,56292.36666666666,194206.60033439714,248.2666666666665,122.91116784927577
772440.0,6.733513264,6.621508233293561E-7,772440.0,99.8,66.57754010695179,75.0,50.0,85.67745631624175,66.66666666666666,99.89969909729189,99.89979959919839,100.0,99.79959919839679,75.0,50.0,100.0,772440.0,381528.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,58191.96666666669,204244.83153634472,245.59999999999994,117.42720970810784
811062.0,7.03245208,6.91653459316161E-7,811062.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,811062.0,381488.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,61398.466666666616,214441.90477922783,245.26666666666668,116.71928065315723
849684.0,7.329087409,7.209349005460409E-7,849684.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,849684.0,381568.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,64620.71666666669,224683.41487521125,245.93333333333328,118.12994791261677
888306.0,7.627202739,7.503624355080724E-7,888306.0,99.7,39.903846153846054,62.5,25.0,76.878612716763,40.0,99.84962406015038,99.84984984984985,100.0,99.69969969969969,62.5,25.0,100.0,888306.0,381568.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,67837.01666666672,234969.16772467538,245.93333333333328,118.12994791261677
926928.0,7.930072164,7.802686585936261E-7,926928.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,926928.0,381688.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,71059.96666666672,245290.1779098399,246.93333333333337,120.2079244394446
965550.0,8.239867945,8.108556047871398E-7,965550.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,965550.0,381648.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,74279.59166666667,255644.83056698364,246.6,119.52021733975047
1004172.0,8.581693602,8.446120186968748E-7,1004172.0,99.8,66.57754010695179,66.66666666666666,50.0,85.67745631624175,66.66666666666666,99.89969909729189,99.89979959919839,100.0,99.79959919839679,75.0,50.0,100.0,1004172.0,381728.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.99,0.8,0.7,75525.21666666666,265542.79742866004,247.26666666666668,120.89079267463421
1042794.0,8.87166593,8.732417436257108E-7,1042794.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1042794.0,381648.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,78392.7416666667,275764.14628981316,246.6,119.52021733975047
1081416.0,9.163100319,9.020037585682732E-7,1081416.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1081416.0,381488.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,81612.89166666659,285931.4196988001,245.26666666666668,116.71928065315723
1120038.0,9.465219565,9.318390330985085E-7,1120038.0,99.7,39.903846153846054,62.5,25.0,76.878612716763,40.0,99.84962406015038,99.84984984984985,100.0,99.69969969969969,62.5,25.0,100.0,1120038.0,381728.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,84829.36666666664,296138.65076149604,247.26666666666668,120.89079267463421
1158660.0,9.762810275,9.612086228616019E-7,1158660.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1158660.0,381488.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,88051.09166666659,306379.38655696966,245.26666666666668,116.71928065315723
1197282.0,10.105191443,9.95012809379198E-7,1197282.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,1197282.0,381648.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,91269.1416666667,316652.80218490283,246.6,119.52021733975047
1235904.0,10.47524363,1.0315375399072137E-6,1235904.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,1235904.0,381528.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,94495.24166666661,326952.5244090421,245.59999999999994,117.42720970810784
1274526.0,10.844919143,1.0680212667086015E-6,1274526.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1274526.0,381488.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,97703.84166666672,337283.3336437611,245.26666666666668,116.71928065315723
1313148.0,11.132389164,1.096409881830948E-6,1313148.0,99.6,0.0,50.0,0.0,?,?,99.79959919839679,?,?,99.6,50.0,0.0,100.0,1313148.0,381728.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.99,0.8,0.7,100919.26666666663,347635.8688992792,247.26666666666668,120.89079267463421
