learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
952.0,0.808551339,7.203093960323473E-8,952.0,100.0,?,?,?,952.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,99.10833333333329,273.14895114168735,279.73333333333323,191.55110923975454
980.0,0.823232224,7.336122667056818E-8,980.0,100.0,?,?,?,980.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,103.6,281.71662858895894,279.73333333333323,191.55110923975454
1008.0,0.838685409,7.476149458048037E-8,1008.0,100.0,?,?,?,1008.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,104.5916666666666,289.68320847869273,279.73333333333323,191.55110923975454
1036.0,0.852827794,7.604298625259349E-8,1036.0,100.0,?,?,?,1036.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,105.58333333333331,296.64161053034894,279.73333333333323,191.55110923975454
1064.0,0.867349038,7.735880768262263E-8,1064.0,100.0,?,?,?,1064.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,109.90000000000002,305.08883952055675,279.73333333333323,191.55110923975454
1092.0,0.881566594,7.864711086569974E-8,1092.0,100.0,?,?,?,1092.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,112.8166666666666,313.82409522708406,279.73333333333323,191.55110923975454
1120.0,0.900680999,8.037913490725267E-8,1120.0,100.0,?,?,?,1120.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,114.50833333333331,321.6027090230746,279.73333333333323,191.55110923975454
1148.0,0.920980319,8.221852830020297E-8,1148.0,100.0,?,?,?,1148.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,115.8500000000001,328.97200846415666,279.73333333333323,191.55110923975454
1176.0,0.941315843,8.406120226601966E-8,1176.0,100.0,?,?,?,1176.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,117.89166666666672,337.0758285841424,279.73333333333323,191.55110923975454
1204.0,0.962265857,8.59595573505159E-8,1204.0,100.0,?,?,?,1204.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,122.20833333333333,345.3924061349443,279.73333333333323,191.55110923975454
1232.0,0.982522582,8.7795091059419E-8,1232.0,100.0,?,?,?,1232.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,125.30000000000003,353.7783952436559,279.73333333333323,191.55110923975454
1260.0,1.002738247,8.962690417607003E-8,1260.0,100.0,?,?,?,1260.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,122.96666666666668,360.2051920671838,279.73333333333323,191.55110923975454
1288.0,1.023112504,9.147308787641424E-8,1288.0,100.0,?,?,?,1288.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,127.45833333333339,368.2870157640534,279.73333333333323,191.55110923975454
1316.0,1.044166215,9.338083931392471E-8,1316.0,100.0,?,?,?,1316.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,130.02500000000006,376.36397238030423,279.73333333333323,191.55110923975454
1344.0,1.064566186,9.522935305102416E-8,1344.0,100.0,?,?,?,1344.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,122.29166666666664,368.3065127375973,279.73333333333323,191.55110923975454
1372.0,1.086517982,9.721848315616033E-8,1372.0,100.0,?,?,?,1372.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,124.85833333333335,376.07024410527424,279.73333333333323,191.55110923975454
1400.0,1.110457203,9.93877008905365E-8,1400.0,100.0,?,?,?,1400.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,128.12499999999997,383.9904271062544,279.73333333333323,191.55110923975454
1428.0,1.127570543,1.0093840133406427E-7,1428.0,100.0,?,?,?,1428.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,131.91666666666683,392.04646404729743,279.73333333333323,191.55110923975454
1456.0,1.143510894,1.0238281308335975E-7,1456.0,100.0,?,?,?,1456.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,135.1833333333334,400.11510913763817,279.73333333333323,191.55110923975454
1484.0,1.159323217,1.0381562376142168E-7,1484.0,100.0,?,?,?,1484.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,137.57500000000016,407.98670810652226,279.73333333333323,191.55110923975454
1512.0,1.176098703,1.053357100555404E-7,1512.0,100.0,?,?,?,1512.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,139.4416666666665,416.043485038015,279.73333333333323,191.55110923975454
1540.0,1.191683745,1.0674792599595875E-7,1540.0,100.0,?,?,?,1540.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,143.0583333333334,424.1090373479727,279.73333333333323,191.55110923975454
1568.0,1.20744179,1.081758183519004E-7,1568.0,100.0,?,?,?,1568.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,147.02500000000006,432.19157094001343,279.73333333333323,191.55110923975454
1596.0,1.222844736,1.0957153392780984E-7,1596.0,100.0,?,?,?,1596.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,146.7916666666666,439.3207112405811,279.73333333333323,191.55110923975454
1624.0,1.239598998,1.110896970400007E-7,1624.0,100.0,?,?,?,1624.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,146.90833333333333,445.81889520850285,279.73333333333323,191.55110923975454
1652.0,1.255511139,1.1253155258112688E-7,1652.0,100.0,?,?,?,1652.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,151.22500000000002,453.664323809443,279.73333333333323,191.55110923975454
1680.0,1.27119399,1.1395263134199295E-7,1680.0,100.0,?,?,?,1680.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,152.91666666666669,461.3393104687194,279.73333333333323,191.55110923975454
1708.0,1.287723296,1.154504103930377E-7,1708.0,100.0,?,?,?,1708.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,156.88333333333333,469.30028700582903,279.73333333333323,191.55110923975454
1736.0,1.304037932,1.1692873743388385E-7,1736.0,100.0,?,?,?,1736.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,160.32499999999996,477.35180132360523,279.73333333333323,191.55110923975454
1764.0,1.320127307,1.1838665277645196E-7,1764.0,100.0,?,?,?,1764.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,163.4166666666666,485.59080507356055,279.73333333333323,191.55110923975454
1792.0,1.33587618,1.198137140249378E-7,1792.0,100.0,?,?,?,1792.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,167.5583333333333,493.64580565682616,279.73333333333323,191.55110923975454
1820.0,1.352708604,1.213389596732126E-7,1820.0,100.0,?,?,?,1820.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,170.12499999999997,501.75451097694594,279.73333333333323,191.55110923975454
1848.0,1.369323545,1.228444984153803E-7,1848.0,100.0,?,?,?,1848.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,171.99166666666673,509.75030130238395,279.73333333333323,191.55110923975454
1876.0,1.384734383,1.2424092911340502E-7,1876.0,100.0,?,?,?,1876.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,176.13333333333347,517.82789609289,279.73333333333323,191.55110923975454
1904.0,1.401400854,1.2575113717166498E-7,1904.0,100.0,?,?,?,1904.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,180.4499999999999,525.9263112584781,279.73333333333323,191.55110923975454
1932.0,1.416659071,1.2713373833948745E-7,1932.0,100.0,?,?,?,1932.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,178.11666666666676,532.8308919195222,279.73333333333323,191.55110923975454
1960.0,1.432109621,1.285337674827025E-7,1960.0,100.0,?,?,?,1960.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,179.28333333333322,540.449317943974,279.73333333333323,191.55110923975454
1988.0,1.446317483,1.298211922580521E-7,1988.0,100.0,?,?,?,1988.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,179.57499999999996,547.4774031252551,279.73333333333323,191.55110923975454
