learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
83000.0,26.271520586,1.3265441643716814E-5,83000.0,0.10602409638554218,0.10602409638554218,-2763633.3333338425,0.0,?,?,?,83000.0,1951816.0
84000.0,26.577368867,1.3419875510997366E-5,84000.0,0.10476190476190476,0.10476190476190476,-2796966.666669459,0.0,?,?,?,84000.0,1951816.0
85000.0,26.897449169,1.3581495640809986E-5,85000.0,0.10352941176470587,0.10352941176470587,-2830300.0000029304,0.0,?,?,?,85000.0,1951816.0
86000.0,27.197659393,1.3733082649041301E-5,86000.0,0.10232558139534884,0.10232558139534884,-2863633.3333368283,0.0,?,?,?,86000.0,1951816.0
87000.0,27.521243981,1.3896472219693241E-5,87000.0,0.10114942528735632,0.10114942528735632,-2896966.666663769,0.0,?,?,?,87000.0,1951816.0
88000.0,27.887053885,1.4081182880742362E-5,88000.0,0.1,0.1,-2930300.0000007567,0.0,?,?,?,88000.0,1951816.0
89000.0,28.171627462,1.4224874379933656E-5,89000.0,0.09887640449438202,0.09887640449438202,-2963633.3333331114,0.0,?,?,?,89000.0,1951816.0
90000.0,28.504976867,1.439319456012725E-5,90000.0,0.09777777777777777,0.09777777777777777,-2996966.6666669967,0.0,?,?,?,90000.0,1951816.0
91000.0,28.859706541,1.4572310411999536E-5,91000.0,0.09670329670329669,0.09670329670329669,-3030299.999996745,0.0,?,?,?,91000.0,1951816.0
92000.0,29.193363578,1.4740785926724696E-5,92000.0,0.09565217391304348,0.09565217391304348,-3063633.3333368455,0.0,?,?,?,92000.0,1951816.0
93000.0,29.542851024,1.4917254787936908E-5,93000.0,0.09462365591397849,0.09462365591397849,-3096966.6666673515,0.0,?,?,?,93000.0,1951816.0
94000.0,29.848081999,1.5071376955074619E-5,94000.0,0.09361702127659574,0.09361702127659574,-3130300.000004052,0.0,?,?,?,94000.0,1951816.0
95000.0,30.177183901,1.5237552417264793E-5,95000.0,0.09263157894736841,0.09263157894736841,-3163633.3333371943,0.0,?,?,?,95000.0,1951816.0
96000.0,30.485409057,1.539318645476403E-5,96000.0,0.09166666666666666,0.09166666666666666,-3196966.666662759,0.0,?,?,?,96000.0,1951816.0
97000.0,30.817599527,1.5560921446728374E-5,97000.0,0.09072164948453608,0.09072164948453608,-3230300.000000475,0.0,?,?,?,97000.0,1951816.0
98000.0,31.206304553,1.5757192683566116E-5,98000.0,0.08979591836734693,0.08979591836734693,-3263633.333331519,0.0,?,?,?,98000.0,1951816.0
99000.0,31.530829666,1.5921057159332937E-5,99000.0,0.08888888888888889,0.08888888888888889,-3296966.6666648337,0.0,?,?,?,99000.0,1951816.0
100000.0,31.883047632,1.6098904758924546E-5,100000.0,0.089,0.089,-1998120.0000002203,0.0,?,?,?,100000.0,1951816.0
101000.0,32.208281089,1.6263126903215536E-5,101000.0,0.08811881188118813,0.08811881188118813,-2018119.9999999981,0.0,?,?,?,101000.0,1951816.0
102000.0,32.510434919,1.641569530846523E-5,102000.0,0.08725490196078431,0.08725490196078431,-2038120.0000018536,0.0,?,?,?,102000.0,1951816.0
103000.0,32.834602508,1.657937925742384E-5,103000.0,0.08640776699029126,0.08640776699029126,-2058119.9999999066,0.0,?,?,?,103000.0,1951816.0
104000.0,33.160173835,1.6743772004507063E-5,104000.0,0.08557692307692308,0.08557692307692308,-2078119.9999985674,0.0,?,?,?,104000.0,1951816.0
105000.0,33.499816493,1.6915269875925166E-5,105000.0,0.08476190476190476,0.08476190476190476,-2098119.9999988335,0.0,?,?,?,105000.0,1951816.0
106000.0,33.85129057,1.7092741859035552E-5,106000.0,0.08490566037735849,0.08490566037735849,-1512900.0000010307,0.0,?,?,?,106000.0,1951816.0
107000.0,34.192291077,1.726492535756121E-5,107000.0,0.08411214953271028,0.08411214953271028,-1527185.714285955,0.0,?,?,?,107000.0,1951816.0
108000.0,34.529442892,1.7435165512192346E-5,108000.0,0.08333333333333334,0.08333333333333334,-1541471.4285718917,0.0,?,?,?,108000.0,1951816.0
109000.0,34.859036905,1.7601589459038417E-5,109000.0,0.08256880733944955,0.08256880733944955,-1555757.1428560065,0.0,?,?,?,109000.0,1951816.0
110000.0,35.190952509,1.7769185661210566E-5,110000.0,0.08181818181818182,0.08181818181818182,-1570042.857142532,0.0,?,?,?,110000.0,1951816.0
111000.0,35.534433005,1.794262139594573E-5,111000.0,0.08108108108108107,0.08108108108108107,-1584328.5714294245,0.0,?,?,?,111000.0,1951816.0
112000.0,35.845134577,1.8099505865517448E-5,112000.0,0.08035714285714285,0.08035714285714285,-1598614.2857151716,0.0,?,?,?,112000.0,1951816.0
113000.0,36.164002739,1.8260513941970563E-5,113000.0,0.07964601769911504,0.07964601769911504,-1612900.000001252,0.0,?,?,?,113000.0,1951816.0
114000.0,36.488053483,1.8424138891659457E-5,114000.0,0.07894736842105263,0.07894736842105263,-1627185.7142857385,0.0,?,?,?,114000.0,1951816.0
115000.0,36.761191365,1.856205609452933E-5,115000.0,0.0782608695652174,0.0782608695652174,-1641471.428572911,0.0,?,?,?,115000.0,1951816.0
116000.0,37.104351188,1.873532990986001E-5,116000.0,0.07758620689655173,0.07758620689655173,-1655757.14285701,0.0,?,?,?,116000.0,1951816.0
117000.0,37.4488975,1.890930381367087E-5,117000.0,0.07692307692307693,0.07692307692307693,-1670042.857143359,0.0,?,?,?,117000.0,1951816.0
118000.0,37.743966525,1.9058294844440966E-5,118000.0,0.07627118644067797,0.07627118644067797,-1684328.5714271006,0.0,?,?,?,118000.0,1951816.0
119000.0,38.117162962,1.9246735233357955E-5,119000.0,0.07563025210084033,0.07563025210084033,-1698614.2857139069,0.0,?,?,?,119000.0,1951816.0
120000.0,38.440333812,1.9409915892718414E-5,120000.0,0.075,0.075,-1712899.9999985585,0.0,?,?,?,120000.0,1951816.0
121000.0,38.782099326,1.9582485670967866E-5,121000.0,0.0743801652892562,0.0743801652892562,-1727185.714286562,0.0,?,?,?,121000.0,1951816.0
122000.0,39.122687804,1.9754461121138002E-5,122000.0,0.07377049180327869,0.07377049180327869,-1741471.4285723937,0.0,?,?,?,122000.0,1951816.0
123000.0,39.423054183,1.990612697768086E-5,123000.0,0.07317073170731707,0.07317073170731707,-1755757.1428559993,0.0,?,?,?,123000.0,1951816.0
124000.0,39.748701751,2.0070558221604533E-5,124000.0,0.07338709677419356,0.07338709677419356,-1376666.6666674977,0.0,?,?,?,124000.0,1951816.0
125000.0,40.048061374,2.0221715730603374E-5,125000.0,0.0728,0.0728,-1387777.7777785298,0.0,?,?,?,125000.0,1951816.0
126000.0,40.374917548,2.0386757243442038E-5,126000.0,0.07222222222222222,0.07222222222222222,-1398888.888888111,0.0,?,?,?,126000.0,1951816.0
127000.0,40.745342392,2.057379815473529E-5,127000.0,0.07165354330708662,0.07165354330708662,-1410000.0000008685,0.0,?,?,?,127000.0,1951816.0
128000.0,41.049241531,2.072724782967069E-5,128000.0,0.07109375,0.07109375,-1421111.1111110572,0.0,?,?,?,128000.0,1951816.0
129000.0,41.365612306,2.0886994885034374E-5,129000.0,0.07054263565891473,0.07054263565891473,-1432222.222221691,0.0,?,?,?,129000.0,1951816.0
130000.0,41.776648777,2.10945420767411E-5,130000.0,0.06999999999999999,0.06999999999999999,-1443333.3333322457,0.0,?,?,?,130000.0,1951816.0
131000.0,42.221909399,2.1319370281033686E-5,131000.0,0.06946564885496183,0.06946564885496183,-1454444.4444434384,0.0,?,?,?,131000.0,1951816.0
132000.0,42.64659552,2.1533809675075618E-5,132000.0,0.06893939393939394,0.06893939393939394,-1465555.555555934,0.0,?,?,?,132000.0,1951816.0
133000.0,43.023859217,2.1724303770781418E-5,133000.0,0.06842105263157894,0.06842105263157894,-1476666.666666738,0.0,?,?,?,133000.0,1951816.0
134000.0,43.410635233,2.1919600980649484E-5,134000.0,0.06791044776119402,0.06791044776119402,-1487777.7777781251,0.0,?,?,?,134000.0,1951816.0
135000.0,43.757237278,2.209461289845947E-5,135000.0,0.06740740740740742,0.06740740740740742,-1498888.888889054,0.0,?,?,?,135000.0,1951816.0
136000.0,44.183400659,2.230979821454495E-5,136000.0,0.06691176470588235,0.06691176470588235,-1509999.999999347,0.0,?,?,?,136000.0,1951816.0
137000.0,44.582648854,2.2511393079021662E-5,137000.0,0.06642335766423357,0.06642335766423357,-1521111.1111098712,0.0,?,?,?,137000.0,1951816.0
138000.0,44.986854603,2.2715491191952047E-5,138000.0,0.06594202898550725,0.06594202898550725,-1532222.2222213703,0.0,?,?,?,138000.0,1951816.0
139000.0,45.417939155,2.2933161385397612E-5,139000.0,0.06546762589928058,0.06546762589928058,-1543333.333332856,0.0,?,?,?,139000.0,1951816.0
140000.0,45.832135687,2.3142304206281906E-5,140000.0,0.065,0.065,-1554444.4444438484,0.0,?,?,?,140000.0,1951816.0
141000.0,46.273000709,2.3364912913035388E-5,141000.0,0.06453900709219859,0.06453900709219859,-1565555.5555548589,0.0,?,?,?,141000.0,1951816.0
142000.0,46.694661326,2.3577824620599352E-5,142000.0,0.06408450704225352,0.06408450704225352,-1576666.666665868,0.0,?,?,?,142000.0,1951816.0
143000.0,47.080769776,2.3772784752231414E-5,143000.0,0.06363636363636364,0.06363636363636364,-1587777.7777786187,0.0,?,?,?,143000.0,1951816.0
144000.0,47.47536651,2.397203092568921E-5,144000.0,0.06319444444444444,0.06319444444444444,-1598888.8888897751,0.0,?,?,?,144000.0,1951816.0
145000.0,47.813068396,2.4142548831078112E-5,145000.0,0.06275862068965517,0.06275862068965517,-1610000.0000012699,0.0,?,?,?,145000.0,1951816.0
146000.0,48.204439044,2.434016603694606E-5,146000.0,0.06232876712328767,0.06232876712328767,-1621111.1111104097,0.0,?,?,?,146000.0,1951816.0
147000.0,48.60434705,2.4542094063878583E-5,147000.0,0.0619047619047619,0.0619047619047619,-1632222.2222213147,0.0,?,?,?,147000.0,1951816.0
