learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
2774232.0,207.380123619,4.267127061037253E-4,2774232.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2774232.0,9522824.0,10.0,0.0,1.6647086799999999E7,3165.1869806098193,909450.4,176651.6728047349,54.199999999999996,10.591401124392267,27.599999999999998,5.295700562196133,27.599999999999998,5.295700562196133,8.200000000000001,1.1352924243950933,29391.636438044712,10344.003238284347,0.0,0.0,1.003545980663956,0.0012482343090322425
2851294.0,213.003397289,4.405659859420752E-4,2851294.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2851294.0,9522824.0,10.0,0.0,1.71096212E7,3034.064117098755,909450.4,176651.6728047349,54.199999999999996,10.591401124392267,27.599999999999998,5.295700562196133,27.599999999999998,5.295700562196133,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
2928356.0,218.540259549,4.542063859680228E-4,2928356.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2928356.0,9522824.0,10.0,0.0,1.7571882200000003E7,3339.5745171432636,909450.4,176651.6728047349,54.199999999999996,10.591401124392267,27.599999999999998,5.295700562196133,27.599999999999998,5.295700562196133,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3005418.0,224.032462025,4.6773676387490247E-4,3005418.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3005418.0,9522824.0,10.0,0.0,1.80341769E7,3651.8447834238677,909450.4,176651.6728047349,54.199999999999996,10.591401124392267,27.599999999999998,5.295700562196133,27.599999999999998,5.295700562196133,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3082480.0,230.108705428,4.827059624534391E-4,3082480.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3082480.0,9522824.0,10.0,0.0,1.84965712E7,3689.055278041356,909450.4,176651.6728047349,54.199999999999996,10.591401124392267,27.599999999999998,5.295700562196133,27.599999999999998,5.295700562196133,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3159542.0,236.665137625,4.988581355996214E-4,3159542.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3159542.0,9522824.0,10.0,0.0,1.8959117799999997E7,3749.333742294573,909450.4,176651.6728047349,54.199999999999996,10.591401124392267,27.599999999999998,5.295700562196133,27.599999999999998,5.295700562196133,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3236604.0,242.233906009,5.125771383204169E-4,3236604.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3236604.0,9522824.0,10.0,0.0,1.9421973700000003E7,3710.4474138727655,909450.4,176651.6728047349,54.199999999999996,10.591401124392267,27.599999999999998,5.295700562196133,27.599999999999998,5.295700562196133,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3313666.0,247.729840684,5.261167107286127E-4,3313666.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3313666.0,9522824.0,10.0,0.0,1.98844426E7,3555.5765964651373,909450.4,176651.6728047349,54.199999999999996,10.591401124392267,27.599999999999998,5.295700562196133,27.599999999999998,5.295700562196133,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3390728.0,253.778477174,5.410139296837007E-4,3390728.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3390728.0,9520288.0,10.0,0.0,2.03470927E7,3594.3118658357985,909196.0,176538.45443730132,54.4,10.71032731111011,27.7,5.355163655555055,27.7,5.355163655555055,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3467790.0,260.351480961,5.572026156411804E-4,3467790.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3467790.0,9520288.0,10.0,0.0,2.08092662E7,3244.917078207806,909196.0,176538.45443730132,54.4,10.71032731111011,27.7,5.355163655555055,27.7,5.355163655555055,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
