learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1849488.0,217.010052545,2.3220873201924033E-4,1849488.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1849488.0,4855944.0,1042888.0,841038.6369774512,435201.6,187787.71454029327,25.599999999999998,11.625642156696358,13.299999999999999,5.812821078348179,13.299999999999999,5.812821078348179,5.8999999999999995,2.5144029554194813,0.0,0.0,0.0,0.0,1.0,0.0
1926550.0,224.849551841,2.4225246956753022E-4,1926550.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1926550.0,4952328.0,1102650.0,864873.7801295375,448024.79999999993,196983.7925678151,26.0,12.009255689767881,13.5,6.004627844883941,13.5,6.004627844883941,6.0,2.6666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
2003612.0,233.27634978,2.5297352226266473E-4,2003612.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2003612.0,4917872.0,1162662.0,889223.2081366798,444580.8,217438.03633157964,25.999999999999996,13.308309851784752,13.499999999999998,6.654154925892376,13.499999999999998,6.654154925892376,5.8,2.9739610697593952,3293.7600000000007,10415.783665956202,0.0,0.0,1.0003918520677482,0.0012391450399312188
2080674.0,241.478791673,2.637295040946958E-4,2080674.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2080674.0,5068848.0,1224524.0,911585.4945581841,459667.2,212058.4490731008,26.8,12.942608358098111,13.9,6.4713041790490555,13.9,6.4713041790490555,6.0,2.6666666666666665,9665.28888888889,15574.076052262173,0.0,0.0,1.0012025592329823,0.0019378313418854552
2157736.0,249.579936689,2.744618519574844E-4,2157736.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2157736.0,5120952.0,1286786.0,933903.2322581512,464875.20000000007,206858.1170586899,27.0,12.613925285616334,14.0,6.306962642808167,14.0,6.306962642808167,6.1,2.5582111805799856,12955.28888888889,16737.05003559444,0.0,0.0,1.0015940485946844,0.0020595221313340346
2234798.0,257.908651269,2.85633269574646E-4,2234798.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2234798.0,5184808.0,1349848.0,955483.4858157762,468065.6,209082.06051489818,27.2,12.769755936064977,14.1,6.384877968032488,14.1,6.384877968032488,6.1,2.766867462592951,12955.28888888889,16737.05003559444,0.0,0.0,1.0015940485946844,0.0020595221313340346
2311860.0,266.653077382,2.9639975230248694E-4,2311860.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2311860.0,4759320.0,1204510.0,1041837.160713921,425547.19999999995,230939.02777274832,24.8,14.093339640490546,12.9,7.046669820245273,12.9,7.046669820245273,5.5,2.758824226207808,12955.28888888889,16737.05003559444,0.0,0.0,1.0015940485946844,0.0020595221313340346
2388922.0,275.209525674,3.070954405935056E-4,2388922.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2388922.0,4831896.0,1266122.0,1061976.3075406991,435991.19999999995,233901.21160144132,25.2,14.281300905574238,13.1,7.140650452787119,13.1,7.140650452787119,5.499999999999999,2.9907264074877267,12955.28888888889,16737.05003559444,0.0,0.0,1.0015940485946844,0.0020595221313340346
2465984.0,283.958931072,3.1799605818949453E-4,2465984.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2465984.0,4815872.0,1311734.0,1102637.9291398323,431196.0,232425.18975360654,25.599999999999998,14.423745853433651,13.299999999999999,7.211872926716826,13.299999999999999,7.211872926716826,5.5,2.758824226207808,12955.28888888889,16737.05003559444,0.0,0.0,1.0015940485946844,0.0020595221313340346
2543046.0,292.947308037,3.278708798809429E-4,2543046.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2543046.0,4246688.0,1128946.0,1133781.0586215,377507.2,236909.4432735381,22.799999999999997,15.273797461302442,11.899999999999999,7.636898730651221,11.899999999999999,7.636898730651221,4.8999999999999995,3.1073389830457114,9665.28888888889,15574.076052262173,0.0,0.0,1.0012025592329823,0.0019378313418854552
