learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
3467340.0,1092.168122059,8.446441218006634E-4,3467340.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3467340.0,3004408.0,20.0,20.0,20.0,0.0,100.0,100.0,2935.0,1.0,0.8,0.7,6708.258333333335,27931.912407334774,18867.333333333318,926.8736040427216
3544392.0,1116.674264166,8.636380829602453E-4,3544392.0,99.9,93.28318108543799,50.0,85.71428571428571,96.75060926076361,93.33333333333333,99.94962216624685,93.75,87.5,100.0,99.9496475327291,100.0,99.8992950654582,3544392.0,2996008.0,20.0,20.0,20.0,0.0,100.0,100.0,3009.0,1.0,0.8,0.7,4751.116666666663,34842.69213184705,18797.333333333332,841.3088376001325
3621444.0,1141.631249008,8.829453227504325E-4,3621444.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,3621444.0,2990408.0,20.0,20.0,20.0,0.0,100.0,100.0,3083.0,0.6404444444444445,0.8,0.7,6978.558333333326,44844.1868778559,18750.666666666668,774.5590595265646
3698496.0,1166.43039857,9.02184348587585E-4,3698496.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3698496.0,2998808.0,20.0,20.0,20.0,0.0,100.0,100.0,3151.0,0.6244444444444445,0.8,0.7,11308.308333333336,56390.4893846346,18820.66666666665,870.5309239974464
3775548.0,1193.192233836,9.229266285181474E-4,3775548.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3775548.0,2996008.0,20.0,20.0,20.0,0.0,100.0,100.0,3211.0,1.0,0.8,0.7,10623.008333333331,52898.950642400814,18797.333333333336,840.8612364995888
3852600.0,1219.857760067,9.435942622615572E-4,3852600.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3852600.0,2996008.0,20.0,20.0,20.0,0.0,100.0,100.0,3277.0,1.0,0.8,0.7,12094.416666666672,62990.1636949161,18797.33333333334,840.4133970083686
3929652.0,1248.29576437,9.655527033489343E-4,3929652.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,3929652.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,16558.983333333344,73657.84840244136,18703.333333333325,926.9113192951825
4006704.0,1274.863947694,9.860673597960868E-4,4006704.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4006704.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,22988.108333333323,90623.20098705092,18703.333333333325,926.9113192951825
4083756.0,1301.917068198,0.0010069564611017692,4083756.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4083756.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,29403.93333333334,109155.31609312702,18703.333333333325,926.9113192951825
4160808.0,1327.916966297,0.0010270323153917437,4160808.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4160808.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,35828.333333333336,128574.44703710127,18703.333333333325,926.9113192951825
