learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1309748.0,722.455751574,5.837707108364559E-4,1309748.0,98.3,0.0,-Infinity,-Infinity,1309748.0,3161912.0,20.0,20.0,20.0,0.0,100.0,100.0,1212.0,0.6364444444444445,0.8,0.7,13273.97500000001,47081.78790656067,20275.99999999999,752.6383844949215
1348270.0,744.372412699,6.016982962676937E-4,1348270.0,99.8,0.0,-Infinity,-Infinity,1348270.0,3161912.0,20.0,20.0,20.0,0.0,100.0,100.0,1241.0,0.749,0.8,0.7,4604.2,27299.14531878489,20275.99999999999,753.9948509732128
1386792.0,767.046887514,6.201744355037014E-4,1386792.0,99.8,0.0,-Infinity,-Infinity,1386792.0,3149752.0,20.0,20.0,20.0,0.0,100.0,100.0,1276.0,0.6044444444444445,0.8,0.7,4506.85,31175.008782124605,20174.666666666668,543.8223470013347
1425314.0,789.081993106,6.381122596305553E-4,1425314.0,94.0,0.0,-Infinity,-Infinity,1425314.0,3146712.0,20.0,20.0,20.0,0.0,100.0,100.0,1315.0,0.48429629629629634,0.8,0.7,5828.5833333333385,35743.91543039903,20149.333333333318,473.61959229668906
1463836.0,810.147092002,6.552438767102993E-4,1463836.0,100.0,?,?,?,1463836.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,1340.0,0.6044444444444445,0.8,0.7,8995.12500000001,42297.988420207526,20123.999999999985,386.7172767033297
1502358.0,830.971315384,6.721795969138831E-4,1502358.0,96.6,0.0,-Infinity,-Infinity,1502358.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,1364.0,0.769,0.8,0.7,11737.083333333336,49916.77740766229,20123.999999999985,386.7172767033297
1540880.0,853.097690438,6.90174318261235E-4,1540880.0,77.8,0.0,-Infinity,-Infinity,1540880.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,1399.0,1.0,0.8,0.7,14961.408333333331,58535.04879933993,20123.999999999985,386.7172767033297
1579402.0,873.218358601,7.065220340719263E-4,1579402.0,98.7,0.0,-Infinity,-Infinity,1579402.0,3140632.0,20.0,20.0,20.0,0.0,100.0,100.0,1438.0,0.6144444444444445,0.8,0.7,11627.924999999992,57737.732553675036,20098.666666666664,274.83511736438373
1617924.0,896.749388999,7.257146376931885E-4,1617924.0,99.9,0.0,-Infinity,-Infinity,1617924.0,3152792.0,20.0,20.0,20.0,0.0,100.0,100.0,1477.0,0.5609631384939442,0.8,0.7,6538.78333333333,51574.8908348329,20200.0,604.876541330626
1656446.0,919.951047978,7.446385962537748E-4,1656446.0,96.7,0.0,-Infinity,-Infinity,1656446.0,3152792.0,20.0,20.0,20.0,0.0,100.0,100.0,1511.0,0.5764444444444445,0.8,0.7,9281.058333333329,56630.41073699065,20200.0,604.876541330626
1694968.0,942.196832851,7.627129348464827E-4,1694968.0,89.5,0.0,-Infinity,-Infinity,1694968.0,3140632.0,20.0,20.0,20.0,0.0,100.0,100.0,1551.0,1.0,0.8,0.7,4649.7666666666655,18816.201615161575,20098.666666666664,274.83511736438345
1733490.0,964.030518927,7.804524498655046E-4,1733490.0,100.0,?,?,?,1733490.0,3140632.0,20.0,20.0,20.0,0.0,100.0,100.0,1585.0,0.759,0.8,0.7,6996.883333333336,25810.669434203694,20098.666666666664,274.83511736438345
1772012.0,985.383083845,7.978010617645219E-4,1772012.0,92.4,0.0,-Infinity,-Infinity,1772012.0,3140632.0,20.0,20.0,20.0,0.0,100.0,100.0,1634.0,0.5278817204301076,0.8,0.7,9480.816666666664,34778.479253840356,20098.666666666664,274.83511736438345
1810534.0,1006.723975468,8.150305220655358E-4,1810534.0,76.0,0.0,-Infinity,-Infinity,1810534.0,3120768.0,20.0,20.0,20.0,0.0,100.0,100.0,1663.0,0.49433333333333335,0.8,0.7,8376.89166666667,37849.09378060954,19933.266666666666,1837.9237085753634
1849056.0,1029.491761849,8.337080356937289E-4,1849056.0,100.0,100.0,100.0,100.0,1849056.0,3171032.0,20.0,20.0,20.0,0.0,100.0,100.0,1704.0,0.785,0.8,0.7,1487.691666666667,6902.688874203125,20351.999999999996,870.3149241664703
1887578.0,1052.171274871,8.522774618127472E-4,1887578.0,98.2,0.0,-Infinity,-Infinity,1887578.0,3164952.0,20.0,20.0,20.0,0.0,100.0,100.0,1730.0,0.5302504145936981,0.8,0.7,4373.125,15475.395649664519,20301.333333333332,794.6194410045651
1926100.0,1075.233755324,8.711604522225441E-4,1926100.0,99.9,0.0,-Infinity,-Infinity,1926100.0,3164952.0,20.0,20.0,20.0,0.0,100.0,100.0,1776.0,1.0,0.8,0.7,5824.900000000001,22002.80007788161,20301.333333333332,794.6194410045651
1964622.0,1097.573888463,8.893817248540857E-4,1964622.0,99.9,0.0,-Infinity,-Infinity,1964622.0,3152792.0,20.0,20.0,20.0,0.0,100.0,100.0,1810.0,0.4553333333333333,0.8,0.7,5280.274999999999,20796.51002434416,20200.0,603.1848247205078
2003144.0,1119.153022179,9.069313911319547E-4,2003144.0,90.7,0.0,-Infinity,-Infinity,2003144.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,1845.0,1.0,0.8,0.7,4240.116666666666,19524.297961612796,20123.999999999985,386.7172767033295
2041666.0,1141.885918245,9.254193779408029E-4,2041666.0,99.9,0.0,-Infinity,-Infinity,2041666.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,1881.0,0.5637222222222222,0.8,0.7,7288.883333333333,27787.218772830278,20123.999999999985,386.7172767033295
2080188.0,1163.689739932,9.431517762485855E-4,2080188.0,99.9,0.0,-Infinity,-Infinity,2080188.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,1913.0,0.772,0.8,0.7,7989.958333333332,32901.439401322874,20123.999999999985,386.7172767033295
2118710.0,1186.250745603,9.616419145771376E-4,2118710.0,99.9,0.0,-Infinity,-Infinity,2118710.0,3167992.0,20.0,20.0,20.0,0.0,100.0,100.0,1956.0,1.0,0.8,0.7,3858.499999999998,25934.134011784092,20326.666666666668,833.7153186148115
2157232.0,1210.382561781,9.813814722440001E-4,2157232.0,98.5,0.0,-Infinity,-Infinity,2157232.0,3161912.0,20.0,20.0,20.0,0.0,100.0,100.0,1988.0,0.798,0.8,0.7,6550.208333333334,31876.110918824048,20275.99999999999,752.6383844949219
2195754.0,1233.26670957,0.0010001364455071615,2195754.0,94.69999999999999,0.0,-Infinity,-Infinity,2195754.0,3167992.0,20.0,20.0,20.0,0.0,100.0,100.0,2022.0,0.794,0.8,0.7,6610.499999999997,23318.210842042517,20326.666666666668,833.7153186148115
2234276.0,1256.498850342,0.0010191035368398642,2234276.0,100.0,?,?,?,2234276.0,3155832.0,20.0,20.0,20.0,0.0,100.0,100.0,2062.0,0.4239915524523747,0.8,0.7,7823.716666666667,30482.01840572759,20225.333333333332,657.7769197763599
