learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
3760.0,11.10221929,2.884578017104107E-6,3760.0,99.9,99.9,99.78991596638656,99.82578397212542,?,?,?,3760.0,1222176.0,10.0,0.0,22497.3,156.4204092963715,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3770.0,11.134812837,2.894883373260362E-6,3770.0,99.9,99.9,99.79166666666667,99.8251748251748,?,?,?,3770.0,1222176.0,10.0,0.0,22562.6,157.0641765507194,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3780.0,11.16830148,2.905471738905398E-6,3780.0,99.9,99.9,99.79253112033194,99.82456140350875,?,?,?,3780.0,1222176.0,10.0,0.0,22622.4,160.18197984376016,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3790.0,11.201032659,2.915820611245347E-6,3790.0,99.9,99.9,99.79253112033194,99.82300884955754,?,?,?,3790.0,1222176.0,10.0,0.0,22682.0,158.51042727705823,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3800.0,11.233904775,2.9262140447366363E-6,3800.0,99.9,99.9,99.79296066252587,99.82269503546097,?,?,?,3800.0,1222176.0,10.0,0.0,22738.100000000002,161.34328481704958,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3810.0,11.266604775,2.936553058968795E-6,3810.0,99.9,99.9,99.7946611909651,99.82206405693948,?,?,?,3810.0,1222176.0,10.0,0.0,22799.4,163.06522212497273,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3820.0,11.299533426,2.9469643675723054E-6,3820.0,99.9,99.9,99.7946611909651,99.82206405693948,?,?,?,3820.0,1222176.0,10.0,0.0,22859.8,165.44270575909016,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3830.0,11.332044991,2.957243802839729E-6,3830.0,99.9,99.9,99.79508196721312,99.82332155477029,?,?,?,3830.0,1222176.0,10.0,0.0,22916.4,165.61682684236342,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3840.0,11.36481395,2.967604620377161E-6,3840.0,99.9,99.9,99.79508196721312,99.82332155477029,?,?,?,3840.0,1222176.0,10.0,0.0,22978.0,160.79248185851927,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
3850.0,11.39768925,2.9779990605785825E-6,3850.0,99.9,99.9,99.7946611909651,99.8242530755712,?,?,?,3850.0,1222176.0,10.0,0.0,23041.0,163.848846332357,87752.0,9277.91394178191,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
