learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
620.0,0.946883648,9.420011945199222E-8,620.0,100.0,100.0,?,?,?,?,?,620.0,387400.0,10.0,0.0,3736.3,78.96419723168496,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
630.0,0.959783118,9.549291281108228E-8,630.0,100.0,100.0,?,?,?,?,?,630.0,387400.0,10.0,0.0,3798.7000000000003,78.54375991905552,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
640.0,0.971402964,9.666251159705637E-8,640.0,100.0,100.0,?,?,?,?,?,640.0,389080.0,10.0,0.0,3862.6,76.22802051156197,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
650.0,0.982989304,9.782873782741115E-8,650.0,100.0,100.0,?,?,?,?,?,650.0,389080.0,10.0,0.0,3921.9999999999995,80.17619485995962,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
660.0,0.994397558,9.897703876259428E-8,660.0,100.0,100.0,?,?,?,?,?,660.0,389080.0,10.0,0.0,3982.6,76.51753611645721,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
670.0,1.006137248,1.0015870047925663E-7,670.0,100.0,100.0,?,?,?,?,?,670.0,389080.0,10.0,0.0,4044.5000000000005,76.46095590415925,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
680.0,1.017891946,1.0134187283027506E-7,680.0,100.0,100.0,?,?,?,?,?,680.0,389080.0,10.0,0.0,4104.7,77.14351704597223,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
690.0,1.029592337,1.0251957889531431E-7,690.0,100.0,100.0,?,?,?,?,?,690.0,389080.0,10.0,0.0,4162.5,75.45454849701827,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
700.0,1.041386743,1.03706748065963E-7,700.0,100.0,100.0,?,?,?,?,?,700.0,389080.0,10.0,0.0,4225.900000000001,78.5429111307246,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
710.0,1.053676228,1.0494374954913642E-7,710.0,100.0,100.0,?,?,?,?,?,710.0,389080.0,10.0,0.0,4287.2,81.18264729745036,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
720.0,1.065322155,1.0611597352531844E-7,720.0,100.0,100.0,?,?,?,?,?,720.0,389080.0,10.0,0.0,4348.7,78.86563820124005,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
730.0,1.077009022,1.0729231832842862E-7,730.0,100.0,100.0,?,?,?,?,?,730.0,389080.0,10.0,0.0,4409.599999999999,81.35136412159568,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
740.0,1.088618283,1.0846085167832467E-7,740.0,100.0,100.0,?,?,?,?,?,740.0,389080.0,10.0,0.0,4469.300000000001,84.62604012162382,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
750.0,1.100947045,1.0970180659870514E-7,750.0,100.0,100.0,?,?,?,?,?,750.0,389080.0,10.0,0.0,4526.8,90.06886254416672,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
760.0,1.113052606,1.1092029516121581E-7,760.0,100.0,100.0,?,?,?,?,?,760.0,389080.0,10.0,0.0,4586.699999999999,89.14289402726133,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
770.0,1.125030363,1.1212591957705511E-7,770.0,100.0,100.0,?,?,?,?,?,770.0,389080.0,10.0,0.0,4647.5,83.92622421574269,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
780.0,1.137701959,1.134013825477308E-7,780.0,100.0,100.0,?,?,?,?,?,780.0,389080.0,10.0,0.0,4706.200000000001,86.77147508766289,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
