learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
8473432.0,120.079533543,1.816606296689224E-4,8473432.0,98.8,97.59939504755198,97.74859287054409,97.59519038076152,98.80008812409493,98.81889763779527,98.78048780487804,98.79696420498418,99.0138067061144,98.58012170385395,98.803212240766,98.62475442043221,98.98167006109979,8473432.0,1.0950184E7,2737532.0,2488029.550556915,1037410.3999999999,872021.9757398064,1224.8,1032.608541510286,612.9,516.304270755143,612.9,516.304270755143,20.0,7.644896627453143,937.7329342170368,807.0800096652754,0.0,0.0,1.049150604234912,0.042302527786614315
9243744.0,132.20067935,2.0812657775369996E-4,9243744.0,99.5,98.9981485785732,99.05482041587902,98.9406779661017,99.4991736555731,99.47753396029259,99.52061361457334,99.49490901951042,99.37369519832986,99.61612284069098,99.50343865724042,99.581589958159,99.42528735632183,9243744.0,8440072.0,2065094.0000000002,2427001.2938924353,790027.2,865646.3223604532,936.0000000000001,1027.0273176070395,468.50000000000006,513.5136588035198,468.50000000000006,513.5136588035198,17.500000000000004,8.072587358874891,625.4037977257922,807.402304590473,0.0,0.0,1.0327524565728823,0.04228372688391638
1.0014056E7,143.581401188,2.3171589205117572E-4,1.0014056E7,99.0,97.99855896245296,98.00796812749005,97.9381443298969,99.0055616877291,99.0272373540856,98.97119341563787,98.98359343737495,99.80392156862746,98.16326530612245,99.02753969144011,98.26254826254826,99.79253112033194,1.0014056E7,8012128.0,1982756.0,2672224.8346025576,747820.0,936322.6106384961,888.0,1115.4734918908252,444.5,557.7367459454126,444.5,557.7367459454126,17.1,7.400450436741447,468.43343490213175,754.2572429655655,0.0,0.0,1.0245960126126374,0.039603746189704477
1.0784368E7,154.581312912,2.5791681985058175E-4,1.0784368E7,99.1,98.19922206393161,98.11715481171548,98.13664596273291,99.10049561650195,99.11851126346718,99.08069458631257,99.09430655532393,99.41060903732809,98.77800407331976,99.10668545081967,98.828125,99.38524590163934,1.0784368E7,9207248.0,2279068.0,3003822.8994251825,865504.8,1049058.3594888852,1025.0,1245.21662550917,513.0,622.608312754585,513.0,622.608312754585,17.8,8.011103405759894,468.4330521426459,754.2566301397811,0.0,0.0,1.0245958362874537,0.039603460696511765
1.155468E7,165.296243996,2.847583992151119E-4,1.155468E7,99.2,98.39792370912703,98.4126984126984,98.3402489626556,99.19896185456352,99.22779922779922,99.1701244813278,99.19896185456352,99.22779922779922,99.1701244813278,99.19896185456352,99.22779922779922,99.1701244813278,1.155468E7,9683448.0,2470980.0,3373243.050504629,912584.0,1171480.3150217915,1080.6000000000001,1391.935758415436,540.8000000000001,695.967879207718,539.8,693.9266371726753,18.1,7.766738197095497,468.2988482003947,754.0379036384196,0.0,0.0,1.024602094198811,0.039613402658249044
1.2324992E7,177.529820476,3.22596457366455E-4,1.2324992E7,99.3,98.59786876051598,98.54166666666666,98.55371900826447,99.29903327990853,99.27159209157128,99.32627526467756,99.29518224315912,99.16839916839916,99.42196531791907,99.30288461538461,99.375,99.23076923076923,1.2324992E7,1.1955776E7,3164292.0,3443944.6069232235,1136053.5999999999,1139187.8701479693,1369.4,1399.546847296573,685.2,699.7734236482866,670.0,669.9240421288239,20.8,7.284687135812125,468.2988482003947,754.0379036384196,0.0,0.0,1.024602094198811,0.039613402658249044
1.3095304E7,191.681554081,3.575956689440222E-4,1.3095304E7,99.7,99.39987037200035,99.43714821763604,99.38900203665987,99.70083019620553,99.70443349753695,99.69543147208122,99.69635627530364,100.0,99.39271255060729,99.70530451866404,99.41060903732809,100.0,1.3095304E7,9559848.0,2598754.0,3592466.140333746,899681.6,1112353.8233816712,1126.1999999999998,1457.8075471215136,563.5999999999999,728.9037735607568,528.0000000000001,648.4213307890343,18.2,9.174844836714012,312.8577719360329,659.5643442740381,6.181132075471699,19.54645587681436,1.017279950534739,0.036487641745146196
1.3865616E7,204.516842648,3.95483139316524E-4,1.3865616E7,99.6,99.19858630624422,99.19354838709677,99.1869918699187,99.5992931531221,99.58246346555325,99.61612284069098,99.5992931531221,99.58246346555325,99.61612284069098,99.5992931531221,99.58246346555325,99.61612284069098,1.3865616E7,1.1410176E7,3158716.0,3772667.6297342232,1081762.4,1133345.2660080832,1372.6000000000001,1541.9683812870123,686.8000000000001,770.9841906435062,632.4000000000001,656.4092896627496,19.800000000000004,10.163114133418402,937.5050900388318,806.8838781335049,6.181132075471699,19.54645587681436,1.0500752941203162,0.04318091907544674
1.4635928E7,217.303994057,4.379160439633341E-4,1.4635928E7,99.3,98.59847514095335,98.56262833675564,98.55072463768116,99.29933638490913,99.27611168562565,99.32236205227493,99.30259379843098,99.37888198757764,99.22630560928434,99.29607918508553,99.17355371900827,99.4186046511628,1.4635928E7,1.2827184E7,3712328.0,3979825.860232804,1220803.2000000002,1109680.523606762,1592.8,1615.2216084625802,796.9,807.6108042312901,708.5,632.7445069782203,21.5,8.462334849857402,1096.0599073731746,756.3839920737319,6.292609351432882,19.898977976202833,1.0601318549284322,0.04239808368455183
1.540624E7,230.845216803,4.77885539877693E-4,1.540624E7,99.9,99.7999983999872,99.79423868312757,99.79296066252587,99.90009900188913,99.89969909729189,99.90029910269193,99.89979959919839,99.79959919839679,100.0,99.9003984063745,100.0,99.800796812749,1.540624E7,1.1409672E7,3471340.0,4562877.09430988,1080302.4,1214396.279167481,1487.4,1847.7279260997514,744.2,923.8639630498757,621.0,686.8426958837729,19.7,8.692908987598264,783.555692948304,825.9816087184785,12.565625224448755,26.49070421125103,1.0450933475648285,0.04825137764509245
